HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459301.6045642,2021-03-28.1053103,bt,1.65,14.969,10.631,0.006,203.029,1.070,g
2459301.6057975,2021-03-28.1065437,bt,1.68,14.969,10.625,0.006,204.312,1.093,g
2459301.6069880,2021-03-28.1077342,bt,1.67,14.975,10.636,0.005,202.131,0.996,g
2459303.6129089,2021-03-30.1138289,bt,2.28,14.706,10.597,0.008,209.422,1.452,g
2459303.6141307,2021-03-30.1150509,bt,2.27,14.738,10.616,0.008,205.957,1.531,g
2459303.6153538,2021-03-30.1162740,bt,2.25,14.674,10.620,0.009,205.200,1.635,g
2459304.5364150,2021-03-31.0374144,bH,1.5,14.925,10.590,0.005,210.787,1.051,g
2459304.5376977,2021-03-31.0386972,bH,1.47,14.958,10.621,0.006,204.930,1.051,g
2459304.5389788,2021-03-31.0399784,bH,1.41,14.954,10.670,0.006,195.900,1.089,g
2459305.5282621,2021-04-01.0293462,bl,1.48,14.934,10.614,0.006,206.256,1.127,g
2459305.5294991,2021-04-01.0305833,bl,1.54,14.922,10.621,0.006,204.935,1.081,g
2459305.5307346,2021-04-01.0318189,bl,1.51,14.918,10.620,0.006,205.158,1.101,g
2459306.6322303,2021-04-02.1334080,bt,1.7,13.949,10.693,0.022,191.880,3.881,g
2459307.5270833,2021-04-03.0283364,bH,1.47,14.540,10.587,0.012,211.498,2.252,g
2459307.5283590,2021-04-03.0296121,bH,1.53,13.969,10.678,0.022,194.415,4.024,g
2459307.5296413,2021-04-03.0308946,bH,1.42,99.990,99.990,99.990,99.990,99.990,g
2459309.2678701,2021-04-04.7692684,bp,1.49,15.020,10.623,0.005,204.634,0.963,g
2459309.2691085,2021-04-04.7705068,bp,1.46,15.009,10.609,0.005,207.156,0.985,g
2459309.2703467,2021-04-04.7717452,bp,1.5,15.012,10.614,0.005,206.249,1.006,g
